config_id,temperature,lr,z_dim,batch_size,weight_decay,fold,probe,balanced_accuracy
config_20,0.7,0.0001,512,256,0.0,2,mlp,0.638095238095238
config_20,0.7,0.0001,512,256,0.0,1,knn,0.7314285714285714
config_2,0.3,0.0001,512,1024,0.0,3,knn,0.8666666666666666
config_21,0.5,0.0001,256,256,0.0,2,mlp,0.7047619047619047
config_21,0.5,0.0001,256,256,0.0,0,mlp,0.8666666666666666
config_20,0.7,0.0001,512,256,0.0,4,mlp,0.7933333333333332
config_20,0.7,0.0001,512,256,0.0,0,mlp,0.5714285714285714
config_21,0.5,0.0001,256,256,0.0,3,mlp,0.8
config_21,0.5,0.0001,256,256,0.0,3,knn,0.8333333333333333
config_20,0.7,0.0001,512,256,0.0,1,mlp,0.6914285714285715
config_20,0.7,0.0001,512,256,0.0,0,knn,0.8666666666666666
config_21,0.5,0.0001,256,256,0.0,1,mlp,0.8095238095238095
config_21,0.5,0.0001,256,256,0.0,2,knn,0.7547619047619047
config_21,0.5,0.0001,256,256,0.0,1,knn,0.798095238095238
config_22,0.5,0.0001,128,256,0.0,1,mlp,0.6599999999999999
config_22,0.5,0.0001,128,256,0.0,0,mlp,0.7333333333333333
config_22,0.5,0.0001,128,256,0.0,0,knn,0.9333333333333332
config_22,0.5,0.0001,128,256,0.0,2,knn,0.7333333333333333
config_21,0.5,0.0001,256,256,0.0,4,mlp,0.8933333333333333
config_19,0.3,0.0001,512,256,0.0,2,mlp,0.7047619047619047
config_22,0.5,0.0001,128,256,0.0,1,knn,0.7314285714285714
config_20,0.7,0.0001,512,256,0.0,3,knn,0.7666666666666667
config_23,0.1,1e-05,128,256,0.0,1,mlp,0.5266666666666666
config_22,0.5,0.0001,128,256,0.0,2,mlp,0.6547619047619048
config_23,0.1,1e-05,128,256,0.0,0,knn,0.8666666666666666
config_21,0.5,0.0001,256,256,0.0,4,knn,0.9
config_23,0.1,1e-05,128,256,0.0,2,knn,0.75
config_24,1.0,0.001,512,256,0.0,0,mlp,0.8095238095238095
config_22,0.5,0.0001,128,256,0.0,4,knn,0.8933333333333333
config_23,0.1,1e-05,128,256,0.0,0,mlp,0.8
config_24,1.0,0.001,512,256,0.0,0,knn,0.9047619047619048
config_19,0.3,0.0001,512,256,0.0,3,mlp,0.7333333333333333
config_23,0.1,1e-05,128,256,0.0,1,knn,0.6599999999999999
config_23,0.1,1e-05,128,256,0.0,3,mlp,0.6666666666666666
config_25,0.3,0.001,128,1024,0.0,2,knn,0.8047619047619048
config_22,0.5,0.0001,128,256,0.0,3,knn,0.9
config_22,0.5,0.0001,128,256,0.0,3,mlp,0.7
config_24,1.0,0.001,512,256,0.0,1,knn,0.6914285714285715
config_24,1.0,0.001,512,256,0.0,2,knn,0.8333333333333333
config_24,1.0,0.001,512,256,0.0,3,mlp,0.6333333333333333
config_24,1.0,0.001,512,256,0.0,2,mlp,0.8047619047619048
